timestamp,value
1768086211.130607,1.750492
1768086211.141069,1.796406
1768086211.147518,1.827914
1768086211.165069,1.845953
1768086211.191100,2.020660
1768086211.201766,2.070392
1768086211.210365,2.080622
1768086211.211377,2.114225
1768086211.222140,2.147010
1768086211.226864,2.142143
1768086211.229036,2.108672
1768086211.232316,2.143262
1768086211.237351,2.160499
1768086211.244543,2.141204
1768086211.253107,2.200664
1768086211.257281,2.218516
1768086211.262830,2.223721
1768086211.264654,2.241761
1768086211.268427,2.208323
1768086211.280720,2.253727
1768086211.294717,2.267717
1768086211.295387,2.283648
1768086211.296515,2.255012
1768086211.305123,2.277752
1768086211.305762,2.277535
1768086211.306789,2.264527
1768086211.314779,2.276840
1768086211.316652,2.274743
1768086211.316766,2.285565
1768086211.326061,2.310899
1768086211.326095,2.286402
1768086211.326620,2.312866
1768086211.335661,2.298138
1768086211.335815,2.293614
1768086211.336666,2.319026
1768086211.349805,2.279753
1768086211.353466,2.273073
1768086211.354556,2.291302
1768086211.355614,2.305591
1768086211.355910,2.291488
1768086211.358391,2.313883
1768086211.367563,2.275355
1768086211.368475,2.291129
1768086211.370716,2.293475
1768086211.376116,2.278078
1768086211.379066,2.259768
1768086211.379189,2.283371
1768086211.386145,2.258789
1768086211.391771,2.254167
1768086211.391819,2.271080
1768086211.396287,2.231807
1768086211.399011,2.212109
1768086211.399101,2.232284
1768086211.406258,2.208777
1768086211.408984,2.214583
1768086211.416119,2.164807
1768086211.420542,2.181526
1768086211.421375,2.159813
1768086211.432041,2.162080
1768086211.434856,2.134825
1768086211.439206,2.149244
1768086211.441014,2.107067
1768086211.446430,2.101268
1768086211.469934,2.022067
1768086211.475606,1.991421
1768086211.476236,1.984882
1768086211.480216,2.016709
1768086211.485813,1.925119
1768086211.486801,1.936558
1768086211.490794,1.983867
1768086211.495780,1.889262
1768086211.496787,1.890777
1768086211.500288,1.943337
1768086211.507496,1.827754
1768086211.507981,1.842275
1768086211.510263,1.894689
1768086211.516235,1.800321
1768086211.517227,1.821475
1768086211.520741,1.852299
1768086211.525759,1.766983
1768086211.526745,1.761584
1768086211.542233,1.755735
1768086211.544766,1.652519
1768086211.546641,1.669657
1768086211.552642,1.703166
1768086211.555649,1.611638
1768086211.557163,1.619270
1768086211.562147,1.657369
1768086211.565149,1.572424
1768086211.567137,1.561463
1768086211.572130,1.608216
1768086211.575113,1.525637
1768086211.577121,1.505788
1768086211.582092,1.527489
1768086211.585099,1.450675
1768086211.587092,1.453805
1768086211.592075,1.480904
1768086211.595078,1.411832
1768086211.597055,1.421143
1768086211.602062,1.444281
1768086211.605029,1.353723
1768086211.607098,1.391346
1768086211.613009,1.400591
1768086211.615002,1.327830
1768086211.617017,1.309188
1768086211.623011,1.323950
1768086211.625175,1.277043
1768086211.627594,1.285846
1768086211.632959,1.294548
1768086211.634957,1.225137
1768086211.636951,1.218715
1768086211.642983,1.246980
1768086211.645356,1.187015
1768086211.647153,1.172095
1768086211.652908,1.185200
1768086211.654908,1.139402
1768086211.662388,1.144355
1768086211.663432,1.108528
1768086211.678365,1.037489
1768086211.679430,1.006441
1768086211.686250,0.978413
1768086211.688657,1.030736
1768086211.690659,1.009984
1768086211.696783,0.956849
1768086211.698806,0.965236
1768086211.703443,0.971016
1768086211.707285,0.917056
1768086211.709561,0.915663
